County/City,,,"Joseph Robinette Biden, Jr","Donald J. Trump","Jo Jorgensen","All Others","Total Votes Cast"
"Dinwiddie County",,,"6,224","8,695",144,29,"15,092"
"Emporia City",,,"1,612",754,13,2,"2,381"
"Essex County",,,"3,038","3,075",58,7,"6,178"
"Fairfax County",,,"419,943","168,401","8,014","4,465","600,823"
"Fairfax City",,,"9,174","4,007",201,101,"13,483"
"Falls Church City",,,"7,146","1,490",114,69,"8,819"
"Fauquier County",,,"17,565","25,106",777,213,"43,661"
"Floyd County",,,"3,004","6,225",147,32,"9,408"
"Fluvanna County",,,"7,414","8,155",226,45,"15,840"
"Franklin County",,,"8,381","20,895",354,72,"29,702"
"Franklin City",,,"2,525","1,487",35,11,"4,058"
"Frederick County",,,"17,207","30,558",781,157,"48,703"
"Fredericksburg City",,,"8,517","4,037",240,68,"12,862"
"Galax City",,,777,"1,838",18,5,"2,638"
"Giles County",,,"2,156","6,876",125,19,"9,176"
"Gloucester County",,,"6,964","14,875",389,54,"22,282"
"Goochland County",,,"6,685","9,966",242,57,"16,950"
"Grayson County",,,"1,535","6,529",56,11,"8,131"
"Greene County",,,"4,163","6,866",241,41,"11,311"
"Greensville County",,,"2,627","1,914",23,10,"4,574"
"Halifax County",,,"7,666","10,418",140,24,"18,248"
"Hampton City",,,"46,220","18,430","1,006",245,"65,901"
"Hanover County",,,"25,307","44,318","1,103",239,"70,967"
"Harrisonburg City",,,"11,022","5,591",364,109,"17,086"
"Henrico County",,,"116,572","63,440","2,414",726,"183,152"
"Henry County",,,"9,127","16,725",223,30,"26,105"
"Highland County",,,417,"1,092",22,2,"1,533"
"Hopewell City",,,"5,430","4,020",131,27,"9,608"
"Isle of Wight County",,,"9,399","13,707",328,22,"23,456"
"James City County",,,"25,553","23,153",710,206,"49,622"
"King and Queen County",,,"1,590","2,450",64,11,"4,115"
"King George County",,,"5,404","8,446",314,60,"14,224"
"King William County",,,"3,260","7,320",142,14,"10,736"
"Lancaster County",,,"3,368","3,697",71,16,"7,152"
"Lee County",,,"1,489","8,365",78,14,"9,946"
"Lexington City",,,"1,791",906,48,17,"2,762"
"Loudoun County",,,"138,372","82,088","3,139","1,263","224,862"
"Louisa County",,,"8,269","13,294",295,57,"21,915"
"Lunenburg County",,,"2,418","3,537",40,5,"6,000"
"Lynchburg City",,,"18,048","17,097",857,361,"36,363"
"Madison County",,,"2,698","5,300",106,25,"8,129"
"Manassas City",,,"10,356","6,256",280,76,"16,968"
"Manassas Park City",,,"3,992","1,979",100,16,"6,087"
"Martinsville City",,,"3,766","2,165",73,9,"6,013"
"Mathews County",,,"1,825","3,901",87,13,"5,826"
"Mecklenburg County",,,"6,803","9,266",113,22,"16,204"
"Middlesex County",,,"2,491","4,196",77,21,"6,785"
"Montgomery County",,,"23,218","20,629",942,248,"45,037"
"Nelson County",,,"4,327","4,812",150,27,"9,316"
"New Kent County",,,"4,621","9,631",172,39,"14,463"
"Newport News City",,,"53,099","26,377","1,438",289,"81,203"
"Norfolk City",,,"64,440","23,443","1,608",390,"89,881"
"Northampton County",,,"3,667","2,955",100,10,"6,732"
"Northumberland County",,,"3,252","4,485",56,22,"7,815"
"Norton City",,,464,"1,109",21,7,"1,601"
"Nottoway County",,,"2,971","4,027",72,8,"7,078"
"Orange County",,,"7,995","12,426",267,54,"20,742"
"Page County",,,"3,007","9,345",134,28,"12,514"
"Patrick County",,,"1,954","7,485",81,14,"9,534"
"Petersburg City",,,"12,389","1,584",108,37,"14,118"
"Pittsylvania County",,,"10,115","23,751",285,76,"34,227"
"Poquoson City",,,"2,054","5,605",160,38,"7,857"
"Portsmouth City",,,"30,948","12,755",723,156,"44,582"
"Powhatan County",,,"5,320","14,055",321,34,"19,730"
"Prince Edward County",,,"4,973","4,434",136,31,"9,574"
"Prince George County",,,"7,103","10,103",195,31,"17,432"
"Prince William County",,,"142,863","81,222","3,242",729,"228,056"
"Pulaski County",,,"4,925","12,127",275,49,"17,376"
"Radford City",,,"3,358","2,786",145,31,"6,320"
"Rappahannock County",,,"2,096","2,812",56,14,"4,978"
"Richmond County",,,"1,513","2,547",31,11,"4,102"
"Richmond City",,,"92,175","16,603","1,691",690,"111,159"
"Roanoke County",,,"21,801","34,268",910,205,"57,184"
"Roanoke City",,,"26,773","15,607",777,166,"43,323"
"Rockbridge County",,,"4,086","8,088",165,34,"12,373"
"Rockingham County",,,"12,644","30,349",653,165,"43,811"
"Russell County",,,"2,373","10,879",116,18,"13,386"
"Salem City",,,"5,148","7,683",220,0,"13,051"
"Scott County",,,"1,692","9,063",90,24,"10,869"
"Shenandoah County",,,"6,836","16,463",346,39,"23,684"
"Smyth County",,,"3,008","10,963",133,32,"14,136"
"Southampton County",,,"3,969","5,730",87,0,"9,786"
"Spotsylvania County",,,"34,307","39,411","1,301",298,"75,317"
"Stafford County",,,"40,245","37,636","1,376",368,"79,625"
"Staunton City",,,"6,981","5,695",249,65,"12,990"
"Suffolk City",,,"28,676","20,082",724,160,"49,642"
"Surry County",,,"2,397","2,025",40,9,"4,471"
"Sussex County",,,"2,827","2,219",35,7,"5,088"
"Tazewell County",,,"3,205","16,731",159,39,"20,134"
"Virginia Beach City",,,"117,393","105,087","4,208",873,"227,561"
"Warren County",,,"6,603","14,069",365,110,"21,147"
"Washington County",,,"6,617","21,679",304,85,"28,685"
"Waynesboro City",,,"4,961","5,507",209,40,"10,717"
"Westmoreland County",,,"4,501","5,318",90,24,"9,933"
"Williamsburg City",,,"4,790","1,963",92,38,"6,883"
"Winchester City",,,"6,610","5,221",213,62,"12,106"
"Wise County",,,"3,110","13,366",108,31,"16,615"
"Wythe County",,,"3,143","11,733",170,26,"15,072"
"York County",,,"17,683","20,241",680,183,"38,787"
TOTALS,,,"2,413,568","1,962,430","64,761","19,765","4,460,524"
